"id","opis","naziv","ekstenzija","url","binarni","dozvoljen"
129,"Digital Video Broadcasting","application/vnd.dvb.service",".svc","http://www.iana.org/assignments/media-types/application/vnd.dvb.svc","t","f"
130,"Digital Winds Music","audio/vnd.digital-winds",".eol","http://www.iana.org/assignments/media-types/audio/vnd.digital-winds","t","f"
131,"DjVu","image/vnd.djvu",".djvu","http://en.wikipedia.org/wiki/DjVu","t","f"
132,"Document Type Definition","application/xml-dtd",".dtd","http://www.w3.org/TR/html4/sgml/dtd.html","t","f"
133,"Dolby Meridian Lossless Packing","application/vnd.dolby.mlp",".mlp","http://www.iana.org/assignments/media-types/application/vnd.dolby.mlp","t","f"
134,"Doom Video Game","application/x-doom",".wad","http://en.wikipedia.org/wiki/Doom_wad","t","f"
135,"DPGraph","application/vnd.dpgraph",".dpg","http://www.iana.org/assignments/media-types/application/vnd.dpgraph","t","f"
136,"DRA Audio","audio/vnd.dra",".dra","http://www.iana.org/assignments/media-types/audio/vnd.dra","t","f"
137,"DreamFactory","application/vnd.dreamfactory",".dfac","http://www.iana.org/assignments/media-types/application/vnd.dreamfactory","t","f"
138,"DTS Audio","audio/vnd.dts",".dts","http://www.iana.org/assignments/media-types/audio/vnd.dts","t","f"
139,"DTS High Definition Audio","audio/vnd.dts.hd",".dtshd","http://www.iana.org/assignments/media-types/audio/vnd.dts.hd","t","f"
140,"DWG Drawing","image/vnd.dwg",".dwg","http://en.wikipedia.org/wiki/Dwg","t","f"
141,"DynaGeo","application/vnd.dynageo",".geo","http://www.iana.org/assignments/media-types/application/vnd.dynageo","t","f"
142,"ECMAScript","application/ecmascript",".es","http://www.ecma-international.org/publications/standards/Ecma-357.htm","t","f"
143,"EcoWin Chart","application/vnd.ecowin.chart",".mag","http://www.iana.org/assignments/media-types/application/vnd.ecowin.chart","t","f"
144,"EDMICS 2000","image/vnd.fujixerox.edmics-mmr",".mmr","http://www.ietf.org/assignments/media-types/image/vnd.fujixerox.edmics-mmr","t","f"
